Tiare	1.25	-0.06	0.42
Werkleute	-0.29	0.1	0.03
Schragen	0.09	-0.83	0.55
gettern	-1.56	0.21	-0.2
aquilischen	-1.67	1.0	-0.26
rostgrau	0.41	-0.71	0.04
Swammerd.	-0.82	0.48	-0.1
Oscillationis	0.16	-0.27	0.15
Swam-	-0.5	-0.04	0.12
Kopfknochen	0.07	0.16	0.35
Quantis	0.0	-0.23	0.23
glor.	-0.04	0.24	0.3
w'	-0.11	0.03	0.14
Friedensverhandlung	-0.18	0.5	0.09
Neutralitätsgesetz	-0.45	0.76	-0.26
Sommervogel	0.58	-0.37	0.53
Potestäten	0.69	-0.49	0.24
Holzstange	0.32	-0.54	0.23
peines	0.37	0.34	0.65
Bedrängte	-0.04	0.66	-0.19
anc.	-0.39	0.4	0.24
veritable	0.22	0.56	0.5
fabricivs	-0.05	-0.11	0.25
videntur	-0.35	0.48	0.38
zulassen	0.1	-0.18	0.29
Pathol.	-0.55	0.68	-0.12
senioribus	-0.53	0.51	0.29
Aushaltung	0.37	0.16	0.17
Minden	0.84	-0.39	0.23
Deutung	0.56	-0.38	0.51
neologisch	-0.16	0.46	0.22
5--f	-0.05	-0.18	0.24
deponiert	0.72	0.19	0.29
Pt.	-0.34	0.1	0.03
Bildhauerwerk	1.24	-0.79	0.56
Mannteufel	0.77	-0.22	0.45
herhalten	-0.0	0.14	0.09
Dichtersprache	1.16	0.3	0.2
Pescia	1.59	-0.45	0.39
Erbauung	0.55	-0.26	0.05
1387	0.4	-0.04	0.3
gleichgebildet	0.63	-0.14	0.42
Pfalz	0.25	0.11	-0.04
abendkühl	1.78	-0.69	0.13
nebenan	0.72	-1.07	0.35
sig.	-0.17	0.39	0.31
Maßgabe	0.18	-0.22	0.29
Hiärne	0.9	-0.07	0.49
Heruntersetzung	-1.45	1.22	-0.14
Endeplatte	0.34	-0.62	0.38
casser	-0.69	0.39	0.19
Bandvogel	-0.1	-0.19	0.35
--e	-0.01	0.14	0.29
Werktag	1.16	-0.07	0.56
Normalzahl	0.03	-0.39	0.38
unbemalt	0.15	-0.47	0.31
Analisirung	-1.13	0.51	-0.41
Bauchseite	-0.32	0.16	0.31
Farbenschmuck	1.52	-0.8	0.44
100.	0.1	-0.25	0.3
Ordo	0.5	0.51	0.47
plantas	-0.31	0.23	0.4
Egel	-0.67	0.25	0.18
375	-0.0	-0.35	0.33
weichend	-0.88	0.61	-0.3
Kirchenstaat	-0.61	1.11	-0.51
Baumgartenbrück	0.87	-1.25	0.28
Schlundwand	-0.38	0.19	0.23
Gesichtstypus	-0.23	0.63	0.26
Senn	0.3	-0.47	0.04
Mittagshöhe	1.73	-1.17	-0.36
Schieferstein	-0.15	-0.41	0.22
Wange	1.32	-0.69	0.53
bewußt	1.99	-0.13	0.73
Pamphylien	0.37	0.14	-0.19
Gaden	0.54	-1.01	0.13
Bak.	0.03	-0.17	0.25
tt	0.06	-0.34	0.27
tonen	0.84	-0.34	0.59
Tatze	-0.97	0.63	-0.08
Milchbranntwein	1.03	-1.14	0.67
